"location_name","location_type","location_fips_code","population","state","county","metro","year","month","rent_change_mom","rent_change_yoy","rent_change_pandemic","price_overall","price_1br","price_2br"
"Boston-Cambridge-Newton, MA-NH","Metro",14460,4912449,,,"Boston-Cambridge-Newton, MA-NH",2024,11,-0.0156,0.0183,0.1784,2173,1847,2299
"Boulder, CO","Metro",14500,328658,,,"Boulder, CO",2024,11,-0.0215,-0.004,0.172,1837,1544,1842
"Bowling Green, KY","Metro",14540,180624,,,"Bowling Green, KY",2024,11,-0.0228,5e-04,0.2346,1016,834,1022
"Bozeman, MT","Metro",14580,119685,,,"Bozeman, MT",2024,11,-0.0078,-0.0316,,1470,1020,1406
"Bremerton-Silverdale-Port Orchard, WA","Metro",14740,275411,,,"Bremerton-Silverdale-Port Orchard, WA",2024,11,0.0014,0.0554,0.2168,1866,1351,1834
"Bridgeport-Stamford-Norwalk, CT","Metro",14860,958371,,,"Bridgeport-Stamford-Norwalk, CT",2024,11,-0.0116,0.0457,0.2572,2109,1798,2193
"Burlington, NC","Metro",15500,171779,,,"Burlington, NC",2024,11,0.0029,0.0378,0.3475,1122,1024,1081
"Cape Coral-Fort Myers, FL","Metro",15980,772902,,,"Cape Coral-Fort Myers, FL",2024,11,-0.0059,-0.0806,0.2466,1406,1153,1326
"Champaign-Urbana, IL","Metro",16580,223223,,,"Champaign-Urbana, IL",2024,11,7e-04,0.0073,0.2709,1101,961,1126
"Charleston-North Charleston, SC","Metro",16700,803398,,,"Charleston-North Charleston, SC",2024,11,-0.0137,-0.0035,0.3146,1569,1429,1518
"Charlotte-Concord-Gastonia, NC-SC","Metro",16740,2668688,,,"Charlotte-Concord-Gastonia, NC-SC",2024,11,-0.0091,-0.0306,0.192,1339,1248,1274
"Charlottesville, VA","Metro",16820,221648,,,"Charlottesville, VA",2024,11,-0.007,0.0572,0.2713,1632,1431,1661
"Chattanooga, TN-GA","Metro",16860,564466,,,"Chattanooga, TN-GA",2024,11,-0.003,-0.0046,0.2663,1102,1003,1079
"Chicago-Naperville-Elgin, IL-IN-WI","Metro",16980,9566955,,,"Chicago-Naperville-Elgin, IL-IN-WI",2024,11,-0.0101,0.0213,0.1962,1594,1399,1605
"Cincinnati, OH-KY-IN","Metro",17140,2253528,,,"Cincinnati, OH-KY-IN",2024,11,-0.0059,0.0138,0.2854,1169,928,1214
"Clarksville, TN-KY","Metro",17300,322949,,,"Clarksville, TN-KY",2024,11,-0.0095,0.0643,0.4741,1115,813,1013
"Cleveland-Elyria, OH","Metro",17460,2079759,,,"Cleveland-Elyria, OH",2024,11,0.0011,0.04,0.2615,1096,898,1125
"Coeur d'Alene, ID","Metro",17660,173396,,,"Coeur d'Alene, ID",2024,11,-0.0054,0.006,0.2964,1304,995,1167
"College Station-Bryan, TX","Metro",17780,269418,,,"College Station-Bryan, TX",2024,11,-0.0111,-5e-04,0.1993,1245,1082,1172
"Colorado Springs, CO","Metro",17820,755081,,,"Colorado Springs, CO",2024,11,-0.0082,-0.017,0.1834,1485,1188,1387
"Columbia, SC","Metro",17900,831913,,,"Columbia, SC",2024,11,-0.0094,0.0054,0.3168,1176,1030,1124
"Columbus, GA-AL","Metro",17980,326159,,,"Columbus, GA-AL",2024,11,0.001,0.0215,0.2869,1222,967,1140
"Columbus, IN","Metro",18020,82371,,,"Columbus, IN",2024,11,0.0125,0.0548,0.3096,1274,1191,1319
"Columbus, OH","Metro",18140,2137223,,,"Columbus, OH",2024,11,-0.0086,0.0185,0.2517,1302,1098,1337
"Corpus Christi, TX","Metro",18580,422187,,,"Corpus Christi, TX",2024,11,-0.0114,-1e-04,0.0676,1242,1014,1252
"Crestview-Fort Walton Beach-Destin, FL","Metro",18880,288639,,,"Crestview-Fort Walton Beach-Destin, FL",2024,11,-0.0053,0.0018,0.187,1372,1168,1197
"Dallas-Fort Worth-Arlington, TX","Metro",19100,7673379,,,"Dallas-Fort Worth-Arlington, TX",2024,11,-0.0081,-0.0303,0.1791,1444,1247,1481
"Daphne-Fairhope-Foley, AL","Metro",19300,233420,,,"Daphne-Fairhope-Foley, AL",2024,11,-0.0025,-0.0213,0.2512,1222,1025,1157
"Davenport-Moline-Rock Island, IA-IL","Metro",19340,382983,,,"Davenport-Moline-Rock Island, IA-IL",2024,11,0.0029,0.0444,0.2207,1021,833,1059
"Dayton-Kettering, OH","Metro",19430,812506,,,"Dayton-Kettering, OH",2024,11,-0.0057,0.0146,0.3623,1082,825,1078
"Deltona-Daytona Beach-Ormond Beach, FL","Metro",19660,676035,,,"Deltona-Daytona Beach-Ormond Beach, FL",2024,11,-0.0012,-0.0154,0.2509,1424,1116,1361
"Denver-Aurora-Lakewood, CO","Metro",19740,2959386,,,"Denver-Aurora-Lakewood, CO",2024,11,-0.0197,-0.0331,0.1512,1722,1492,1785
"Des Moines-West Des Moines, IA","Metro",19780,711490,,,"Des Moines-West Des Moines, IA",2024,11,-0.0152,0.007,0.1443,1147,957,1168
"Detroit-Warren-Dearborn, MI","Metro",19820,4375604,,,"Detroit-Warren-Dearborn, MI",2024,11,-0.0066,0.0281,0.2131,1215,968,1254
"Durham-Chapel Hill, NC","Metro",20500,648066,,,"Durham-Chapel Hill, NC",2024,11,-0.0129,-0.0211,0.2042,1298,1164,1314
"El Paso, TX","Metro",21340,867161,,,"El Paso, TX",2024,11,0.0028,0.0404,0.373,1147,910,1082
"Eugene-Springfield, OR","Metro",21660,382218,,,"Eugene-Springfield, OR",2024,11,-0.008,0.0235,0.244,1200,911,1217
"Evansville, IN-KY","Metro",21780,313961,,,"Evansville, IN-KY",2024,11,-0.0035,0.0552,0.3196,1083,846,1127
"Fargo, ND-MN","Metro",22020,251635,,,"Fargo, ND-MN",2024,11,-0.0032,-0.0292,0.1533,989,837,1004
"Fayetteville, NC","Metro",22180,522537,,,"Fayetteville, NC",2024,11,-0.0066,0.0309,0.3652,1210,940,1073
"Fayetteville-Springdale-Rogers, AR","Metro",22220,550596,,,"Fayetteville-Springdale-Rogers, AR",2024,11,-0.0096,-0.0422,0.3359,1129,875,1047
"Flagstaff, AZ","Metro",22380,144705,,,"Flagstaff, AZ",2024,11,-0.029,-0.0368,0.3064,1485,1353,1478
"Fort Collins, CO","Metro",22660,359363,,,"Fort Collins, CO",2024,11,-0.0254,-0.0113,0.1984,1567,1343,1475
"Fort Wayne, IN","Metro",23060,419715,,,"Fort Wayne, IN",2024,11,-0.0156,0.0344,0.3115,1057,874,1069
"Fresno, CA","Metro",23420,1008280,,,"Fresno, CA",2024,11,-0.0071,-0.0052,0.2691,1313,1018,1260
"Gainesville, FL","Metro",23540,341067,,,"Gainesville, FL",2024,11,-0.0125,-0.0103,0.1499,1176,995,1225
"Gainesville, GA","Metro",23580,204953,,,"Gainesville, GA",2024,11,-0.0101,-0.0663,0.245,1264,1139,1222
"Grand Forks, ND-MN","Metro",24220,104055,,,"Grand Forks, ND-MN",2024,11,-0.0026,0.0706,0.1963,1050,826,1058
"Grand Rapids-Kentwood, MI","Metro",24340,1087068,,,"Grand Rapids-Kentwood, MI",2024,11,-0.0062,0.0432,0.3213,1234,1047,1264
"Greeley, CO","Metro",24540,331466,,,"Greeley, CO",2024,11,-0.0041,0.0104,0.1618,1591,1118,1462
"Greensboro-High Point, NC","Metro",24660,775169,,,"Greensboro-High Point, NC",2024,11,-0.0086,0.0073,0.3939,1091,941,1060
"Greenville, NC","Metro",24780,171196,,,"Greenville, NC",2024,11,0.0196,0.0775,0.3135,1215,948,1196
"Greenville-Anderson, SC","Metro",24860,931405,,,"Greenville-Anderson, SC",2024,11,0.0029,-0.026,0.2245,1094,990,1063
"Gulfport-Biloxi, MS","Metro",25060,416839,,,"Gulfport-Biloxi, MS",2024,11,-0.0057,0.0094,0.38,1191,919,1101
"Hartford-East Hartford-Middletown, CT","Metro",25540,1215703,,,"Hartford-East Hartford-Middletown, CT",2024,11,-0.0119,0.0465,0.3248,1539,1269,1656
"Hilton Head Island-Bluffton, SC","Metro",25940,218515,,,"Hilton Head Island-Bluffton, SC",2024,11,-0.0249,-0.0427,0.3621,1563,1476,1531
"Houma-Thibodaux, LA","Metro",26380,206082,,,"Houma-Thibodaux, LA",2024,11,0.0024,0.0097,0.2602,1048,872,1085
"Houston-The Woodlands-Sugar Land, TX","Metro",26420,7142603,,,"Houston-The Woodlands-Sugar Land, TX",2024,11,-0.0056,-0.0013,0.1214,1360,1158,1362
"Huntsville, AL","Metro",26620,493980,,,"Huntsville, AL",2024,11,-0.0055,-0.0456,0.1291,1034,869,987
"Indianapolis-Carmel-Anderson, IN","Metro",26900,2109957,,,"Indianapolis-Carmel-Anderson, IN",2024,11,-0.0032,0.0064,0.2933,1250,1060,1240
"Jackson, MS","Metro",27140,591397,,,"Jackson, MS",2024,11,-0.0025,0.0193,0.2722,1175,974,1184
"Jacksonville, FL","Metro",27260,1613587,,,"Jacksonville, FL",2024,11,-0.0072,-0.0352,0.2167,1350,1107,1319
"Kalamazoo-Portage, MI","Metro",28020,261426,,,"Kalamazoo-Portage, MI",2024,11,0.0109,0.0334,0.3563,1080,927,1130
"Kansas City, MO-KS","Metro",28140,2190750,,,"Kansas City, MO-KS",2024,11,-0.0032,0.0374,0.2487,1313,1135,1299
"Kennewick-Richland, WA","Metro",28420,304252,,,"Kennewick-Richland, WA",2024,11,-0.0038,0.0147,0.3259,1360,1113,1361
"Killeen-Temple, TX","Metro",28660,477577,,,"Killeen-Temple, TX",2024,11,3e-04,-0.0498,0.2913,1077,771,966
"Knoxville, TN","Metro",28940,884359,,,"Knoxville, TN",2024,11,-0.0036,0.0077,0.5483,1191,933,1173
"Lafayette, LA","Metro",29180,479865,,,"Lafayette, LA",2024,11,-0.0044,-0.0254,0.2347,991,798,970
"Lafayette-West Lafayette, IN","Metro",29200,224515,,,"Lafayette-West Lafayette, IN",2024,11,-0.0129,0.0036,0.4021,1182,1008,1235
"Lake Charles, LA","Metro",29340,216217,,,"Lake Charles, LA",2024,11,-0.0061,0.001,0.0441,1106,802,1117
"Lakeland-Winter Haven, FL","Metro",29460,736229,,,"Lakeland-Winter Haven, FL",2024,11,-0.0023,-0.0214,0.2468,1228,938,1155
"Lansing-East Lansing, MI","Metro",29620,538985,,,"Lansing-East Lansing, MI",2024,11,-0.0126,0.029,0.3426,1157,929,1205
"Las Vegas-Henderson-Paradise, NV","Metro",29820,2265926,,,"Las Vegas-Henderson-Paradise, NV",2024,11,-0.0066,-0.0038,0.2642,1471,1174,1384
"Lawton, OK","Metro",30020,127314,,,"Lawton, OK",2024,11,0.0067,0.0514,0.2474,867,602,805
"Lexington-Fayette, KY","Metro",30460,515954,,,"Lexington-Fayette, KY",2024,11,-0.0144,0.0523,0.3617,1135,928,1104
"Lincoln, NE","Metro",30700,339707,,,"Lincoln, NE",2024,11,-0.0029,-0.0105,0.2701,1099,925,1104
"Little Rock-North Little Rock-Conway, AR","Metro",30780,749290,,,"Little Rock-North Little Rock-Conway, AR",2024,11,-0.0078,0.0155,0.2373,1033,857,994
"Longview, TX","Metro",30980,287359,,,"Longview, TX",2024,11,-0.0174,-0.013,0.2332,989,797,981
"Los Angeles-Long Beach-Anaheim, CA","Metro",31080,13111917,,,"Los Angeles-Long Beach-Anaheim, CA",2024,11,-0.0055,-0.0077,0.1302,2180,1874,2336
"Louisville/Jefferson County, KY-IN","Metro",31140,1282588,,,"Louisville/Jefferson County, KY-IN",2024,11,-0.0071,0.0331,0.2393,1200,986,1219
"Lynchburg, VA","Metro",31340,262124,,,"Lynchburg, VA",2024,11,-0.0158,-0.0286,0.3077,919,747,871
"Macon-Bibb County, GA","Metro",31420,233334,,,"Macon-Bibb County, GA",2024,11,-0.0194,-0.0249,0.269,1100,917,1083
"Madison, WI","Metro",31540,678995,,,"Madison, WI",2024,11,0.0026,0.0508,0.3281,1490,1371,1546
"Manchester-Nashua, NH","Metro",31700,422733,,,"Manchester-Nashua, NH",2024,11,-0.0084,0.0167,0.3697,1706,1322,1818
"McAllen-Edinburg-Mission, TX","Metro",32580,873167,,,"McAllen-Edinburg-Mission, TX",2024,11,-0.0165,-0.0238,0.1688,897,678,885
"Memphis, TN-MS-AR","Metro",32820,1335804,,,"Memphis, TN-MS-AR",2024,11,-0.0137,3e-04,0.2339,1115,927,1038
"Miami-Fort Lauderdale-Pompano Beach, FL","Metro",33100,6123949,,,"Miami-Fort Lauderdale-Pompano Beach, FL",2024,11,-0.0038,-0.0018,0.3286,1796,1481,1836
"Midland, TX","Metro",33260,174621,,,"Midland, TX",2024,11,-0.004,0.0382,0.0327,1680,1473,1801
"Milwaukee-Waukesha, WI","Metro",33340,1568940,,,"Milwaukee-Waukesha, WI",2024,11,-0.0169,0.0051,0.2218,1194,994,1240
"Minneapolis-St. Paul-Bloomington, MN-WI","Metro",33460,3678328,,,"Minneapolis-St. Paul-Bloomington, MN-WI",2024,11,-0.0056,0.0162,0.0498,1443,1244,1546
"Mobile, AL","Metro",33660,429312,,,"Mobile, AL",2024,11,-0.0087,-0.0017,0.3108,1067,858,1039
"Montgomery, AL","Metro",33860,384740,,,"Montgomery, AL",2024,11,-0.0311,0.0297,0.3123,1144,917,1074
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC","Metro",34820,496299,,,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",2024,11,-0.0123,-0.0337,0.3276,1169,986,1099
"Napa, CA","Metro",34900,137384,,,"Napa, CA",2024,11,-0.0157,-4e-04,0.1225,2293,1747,2416
"Naples-Marco Island, FL","Metro",34940,380221,,,"Naples-Marco Island, FL",2024,11,-0.004,-0.0467,0.4169,1700,1479,1617
"Nashville-Davidson--Murfreesboro--Franklin, TN","Metro",34980,1990873,,,"Nashville-Davidson--Murfreesboro--Franklin, TN",2024,11,-0.0069,-0.0122,0.1913,1396,1243,1375
"New Haven-Milford, CT","Metro",35300,866377,,,"New Haven-Milford, CT",2024,11,0.0023,0.0782,0.3642,1683,1425,1750
"New Orleans-Metairie, LA","Metro",35380,1264357,,,"New Orleans-Metairie, LA",2024,11,-1e-04,0.0211,0.1661,1208,1001,1226
"New York-Newark-Jersey City, NY-NJ-PA","Metro",35620,19908595,,,"New York-Newark-Jersey City, NY-NJ-PA",2024,11,-0.0104,0.0017,0.1805,2194,2008,2247
"North Port-Sarasota-Bradenton, FL","Metro",35840,844461,,,"North Port-Sarasota-Bradenton, FL",2024,11,-0.0057,-0.0204,0.3377,1573,1353,1529
"Norwich-New London, CT","Metro",35980,268448,,,"Norwich-New London, CT",2024,11,-0.003,0.064,0.4716,1522,1245,1591
"Odessa, TX","Metro",36220,162300,,,"Odessa, TX",2024,11,0.0055,0.0229,0.0482,1672,1408,1735
"Ogden-Clearfield, UT","Metro",36260,696650,,,"Ogden-Clearfield, UT",2024,11,-0.0135,-0.0315,0.2201,1252,910,1172
"Oklahoma City, OK","Metro",36420,1428923,,,"Oklahoma City, OK",2024,11,-0.0097,-0.0018,0.2609,1084,870,1067
"Olympia-Lacey-Tumwater, WA","Metro",36500,294272,,,"Olympia-Lacey-Tumwater, WA",2024,11,-0.0069,-0.0139,0.1638,1594,1341,1553
"Omaha-Council Bluffs, NE-IA","Metro",36540,966688,,,"Omaha-Council Bluffs, NE-IA",2024,11,-0.004,0.0261,0.2638,1246,1057,1274
"Orlando-Kissimmee-Sanford, FL","Metro",36740,2679298,,,"Orlando-Kissimmee-Sanford, FL",2024,11,-0.0104,-0.0185,0.228,1538,1303,1503
"Oxnard-Thousand Oaks-Ventura, CA","Metro",37100,842009,,,"Oxnard-Thousand Oaks-Ventura, CA",2024,11,-0.0122,-0.0017,0.2345,2400,1941,2298
"Palm Bay-Melbourne-Titusville, FL","Metro",37340,610723,,,"Palm Bay-Melbourne-Titusville, FL",2024,11,-0.0028,0.0127,0.2873,1459,1220,1370
"Panama City, FL","Metro",37460,181055,,,"Panama City, FL",2024,11,-0.0186,-0.0092,0.099,1338,1133,1290
"Pensacola-Ferry Pass-Brent, FL","Metro",37860,510290,,,"Pensacola-Ferry Pass-Brent, FL",2024,11,-0.0207,0.013,0.2194,1368,1065,1278
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Metro",37980,6232894,,,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2024,11,-0.0052,0.0059,0.2212,1531,1335,1620
"Phoenix-Mesa-Chandler, AZ","Metro",38060,4864209,,,"Phoenix-Mesa-Chandler, AZ",2024,11,-0.01,-0.0266,0.2181,1411,1193,1381
"Pittsburgh, PA","Metro",38300,2365501,,,"Pittsburgh, PA",2024,11,-0.0105,0.0074,0.15,1154,960,1195
"Portland-Vancouver-Hillsboro, OR-WA","Metro",38900,2505312,,,"Portland-Vancouver-Hillsboro, OR-WA",2024,11,-0.0101,0.017,0.1311,1663,1446,1671
"Port St. Lucie, FL","Metro",38940,494081,,,"Port St. Lucie, FL",2024,11,-0.0034,-0.0287,0.2675,1380,1089,1306
"Prescott Valley-Prescott, AZ","Metro",39150,237830,,,"Prescott Valley-Prescott, AZ",2024,11,-0.013,-0.0672,0.1781,1403,1080,1427
"Providence-Warwick, RI-MA","Metro",39300,1670949,,,"Providence-Warwick, RI-MA",2024,11,-0.016,0.0113,0.321,1413,1093,1487
"Provo-Orem, UT","Metro",39340,677964,,,"Provo-Orem, UT",2024,11,-0.0123,-0.0348,0.234,1299,972,1127
"Punta Gorda, FL","Metro",39460,189900,,,"Punta Gorda, FL",2024,11,-0.0031,-0.0634,0.1698,1177,880,1118
"Racine, WI","Metro",39540,197068,,,"Racine, WI",2024,11,-0.0033,-0.0198,0.2247,1028,765,1029
"Raleigh-Cary, NC","Metro",39580,1420825,,,"Raleigh-Cary, NC",2024,11,-0.0088,-0.0409,0.2011,1405,1248,1374
"Reno, NV","Metro",39900,490769,,,"Reno, NV",2024,11,-0.0101,0.0409,0.1642,1430,1166,1452
"Richmond, VA","Metro",40060,1316145,,,"Richmond, VA",2024,11,-0.0069,0.0288,0.2815,1424,1224,1392
"Riverside-San Bernardino-Ontario, CA","Metro",40140,4610050,,,"Riverside-San Bernardino-Ontario, CA",2024,11,-0.0065,0.0048,0.3072,1842,1397,1725
"Roanoke, VA","Metro",40220,314708,,,"Roanoke, VA",2024,11,-9e-04,0.0124,0.3678,1091,927,1052
"Rochester, MN","Metro",40340,225911,,,"Rochester, MN",2024,11,-0.0064,0.0016,0.1446,1173,960,1168
"Sacramento-Roseville-Folsom, CA","Metro",40900,2394673,,,"Sacramento-Roseville-Folsom, CA",2024,11,-0.0085,0.0107,0.223,1760,1393,1734
"St. Cloud, MN","Metro",41060,199922,,,"St. Cloud, MN",2024,11,-8e-04,-0.0042,0.2365,1039,815,1095
"St. Louis, MO-IL","Metro",41180,2813523,,,"St. Louis, MO-IL",2024,11,-0.0057,0.0154,0.1949,1205,984,1230
"Salem, OR","Metro",41420,433415,,,"Salem, OR",2024,11,-0.0066,-0.0099,0.2715,1343,1027,1336
"Salisbury, MD-DE","Metro",41540,421982,,,"Salisbury, MD-DE",2024,11,-0.0051,0.0207,0.4631,1402,976,1326
"Salt Lake City, UT","Metro",41620,1254675,,,"Salt Lake City, UT",2024,11,-0.0129,-0.0313,0.209,1461,1209,1444
"San Angelo, TX","Metro",41660,122229,,,"San Angelo, TX",2024,11,-0.0118,-0.034,0.1154,1130,873,1147
"San Antonio-New Braunfels, TX","Metro",41700,2570862,,,"San Antonio-New Braunfels, TX",2024,11,-0.011,-0.032,0.1316,1220,1031,1251
"San Diego-Chula Vista-Carlsbad, CA","Metro",41740,3289701,,,"San Diego-Chula Vista-Carlsbad, CA",2024,11,-0.0017,-0.0069,0.2786,2269,1916,2333
"San Francisco-Oakland-Berkeley, CA","Metro",41860,4692242,,,"San Francisco-Oakland-Berkeley, CA",2024,11,-0.0063,0.0013,-0.0583,2525,2274,2673
"San Jose-Sunnyvale-Santa Clara, CA","Metro",41940,1981584,,,"San Jose-Sunnyvale-Santa Clara, CA",2024,11,-0.0114,0.028,0.019,2898,2567,2999
"Santa Fe, NM","Metro",42140,154481,,,"Santa Fe, NM",2024,11,-0.0104,0.0086,0.3864,1470,1237,1520
"Santa Maria-Santa Barbara, CA","Metro",42200,445213,,,"Santa Maria-Santa Barbara, CA",2024,11,-0.0155,-0.0258,0.3423,2038,1770,2066
"Santa Rosa-Petaluma, CA","Metro",42220,488436,,,"Santa Rosa-Petaluma, CA",2024,11,-0.004,-0.0235,0.1522,2130,1620,2179
"Savannah, GA","Metro",42340,406575,,,"Savannah, GA",2024,11,-0.0018,0.0138,0.3902,1500,1300,1431
"Seattle-Tacoma-Bellevue, WA","Metro",42660,4001701,,,"Seattle-Tacoma-Bellevue, WA",2024,11,-0.012,0.0083,0.1071,1961,1738,1989
"Sherman-Denison, TX","Metro",43300,137008,,,"Sherman-Denison, TX",2024,11,-0.0144,-0.0547,0.187,1197,920,1183
"Shreveport-Bossier City, LA","Metro",43340,391957,,,"Shreveport-Bossier City, LA",2024,11,0.0051,0.0304,0.2493,1076,898,1046
"Sierra Vista-Douglas, AZ","Metro",43420,125504,,,"Sierra Vista-Douglas, AZ",2024,11,-0.0314,0.0185,0.3745,1086,880,979
"Sioux Falls, SD","Metro",43620,277944,,,"Sioux Falls, SD",2024,11,0.0019,-0.0218,0.1936,935,801,940
"South Bend-Mishawaka, IN-MI","Metro",43780,323992,,,"South Bend-Mishawaka, IN-MI",2024,11,-0.0115,0.0245,0.3851,1089,923,1117
"Spartanburg, SC","Metro",43900,330119,,,"Spartanburg, SC",2024,11,-0.0028,-0.0149,0.196,1142,984,1098
"Spokane-Spokane Valley, WA","Metro",44060,585485,,,"Spokane-Spokane Valley, WA",2024,11,-0.0115,0.0099,0.294,1176,922,1196
"Stockton, CA","Metro",44700,779445,,,"Stockton, CA",2024,11,-0.0123,-0.0046,0.1659,1596,1143,1442
"Tallahassee, FL","Metro",45220,386064,,,"Tallahassee, FL",2024,11,-9e-04,0.0092,0.3001,1256,1097,1251
"Tampa-St. Petersburg-Clearwater, FL","Metro",45300,3194310,,,"Tampa-St. Petersburg-Clearwater, FL",2024,11,0.0021,-0.0068,0.3426,1518,1276,1515
"Toledo, OH","Metro",45780,644547,,,"Toledo, OH",2024,11,0.0095,0.0136,0.3757,917,689,949
"Topeka, KS","Metro",45820,232995,,,"Topeka, KS",2024,11,-0.0259,0.0448,0.2063,1031,783,1043
"Trenton-Princeton, NJ","Metro",45940,383732,,,"Trenton-Princeton, NJ",2024,11,0.0086,-0.0392,0.2074,1641,1354,1777
"Tucson, AZ","Metro",46060,1042393,,,"Tucson, AZ",2024,11,-0.0057,-0.0192,0.3554,1184,953,1231
"Tulsa, OK","Metro",46140,1017724,,,"Tulsa, OK",2024,11,-0.0033,0.0485,0.3151,1080,883,1082
"Tyler, TX","Metro",46340,234667,,,"Tyler, TX",2024,11,2e-04,-0.006,0.2664,1120,876,1099
"Urban Honolulu, HI","Metro",46520,1010100,,,"Urban Honolulu, HI",2024,11,0.0015,0.0575,0.2203,2442,1847,2452
"Vallejo, CA","Metro",46700,450995,,,"Vallejo, CA",2024,11,-0.0132,0.0232,0.1718,2189,1705,2111
"Virginia Beach-Norfolk-Newport News, VA-NC","Metro",47260,1798025,,,"Virginia Beach-Norfolk-Newport News, VA-NC",2024,11,-0.0062,0.0262,0.3174,1561,1296,1461
"Waco, TX","Metro",47380,278103,,,"Waco, TX",2024,11,0.002,0.018,0.326,1112,891,1114
"Warner Robins, GA","Metro",47580,192171,,,"Warner Robins, GA",2024,11,-0.0044,0.0025,0.3263,1182,980,1080
"Washington-Arlington-Alexandria, DC-VA-MD-WV","Metro",47900,6346083,,,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2024,11,-0.0076,0.0313,0.1564,2163,1963,2169
"Wenatchee, WA","Metro",48300,122265,,,"Wenatchee, WA",2024,11,-0.0046,0.03,0.2254,1289,991,1295
"Wichita, KS","Metro",48620,646794,,,"Wichita, KS",2024,11,0.0077,0.0226,0.2431,1020,789,1031
"Wilmington, NC","Metro",48900,289726,,,"Wilmington, NC",2024,11,-0.0175,-0.0255,0.2468,1267,1158,1243
"Winston-Salem, NC","Metro",49180,678243,,,"Winston-Salem, NC",2024,11,-0.0131,0.0162,0.3557,1062,895,1018
"Worcester, MA-CT","Metro",49340,975551,,,"Worcester, MA-CT",2024,11,-0.0082,0.023,0.2688,1468,1105,1530
"York-Hanover, PA","Metro",49620,457051,,,"York-Hanover, PA",2024,11,-0.0083,0.0363,0.4377,1315,1029,1325
"New Jersey","State",34,9249063,"New Jersey",,,2024,11,-0.0101,0.003,0.2383,1902,1623,2015
"Montana","State",30,1091840,"Montana",,,2024,11,-0.007,0.0049,0.2519,1085,853,1092
"Nebraska","State",31,1958939,"Nebraska",,,2024,11,-0.0039,0.0196,0.2635,1149,984,1157
"New Hampshire","State",33,1379610,"New Hampshire",,,2024,11,-0.0078,0.0161,0.3642,1508,1177,1643
